epoch,step,predictor_loss,user_infoNCE_loss,echo_chamber_debiased_loss,total_loss,mean_loss,grad_norm,lr,step_time_s
1,1,0.657484,2.625298,14.135274,17.418055,17.418055,33.602512,0.001,25.3011
1,2,0.656987,1.259803,12.297367,14.214157,15.816106,23.162542,0.001,26.4357
1,3,0.648702,0.028954,10.66855,11.346207,14.326139,8.38732,0.001,30.5398
1,4,0.610192,0.025467,8.743151,9.37881,13.089307,7.051652,0.001,29.843
1,5,0.527337,1.237283,8.162859,9.927479,12.456941,18.495323,0.001,29.0106
1,6,0.501943,0.963737,7.517873,8.983553,11.878043,18.109207,0.001,26.775
1,7,0.508388,0.040837,6.776602,7.325827,11.227727,6.625614,0.001,29.6275
1,8,0.524434,0.62287,5.823485,6.970789,10.69561,15.519526,0.001,20.7868
1,9,0.5226,0.001146,5.101302,5.625048,10.132214,5.468382,0.001,9.5511
1,10,0.520978,0.000119,4.833802,5.354899,9.654482,4.792973,0.001,7.9009
1,11,0.522492,0.001975,4.548773,5.07324,9.238006,4.657009,0.001,8.0429
1,12,0.532197,0.000773,3.94925,4.482219,8.84169,4.090379,0.001,7.8627
1,13,0.526616,0.045974,3.384223,3.956813,8.46593,4.280422,0.001,8.1883
1,14,0.497752,0.000262,2.869652,3.367665,8.101769,3.188055,0.001,9.0114
1,15,0.507158,0.00106,2.428339,2.936557,7.757421,2.787908,0.001,11.2266
1,16,0.509468,0.000116,2.065317,2.574901,7.433514,2.424431,0.001,9.5166
1,17,0.504863,1.9e-05,1.768175,2.273057,7.129957,2.062975,0.001,9.65
1,18,0.504517,4e-06,1.604573,2.109094,6.851021,1.835034,0.001,9.8396
1,19,0.511895,3.6e-05,1.407482,1.919412,6.591462,1.529563,0.001,8.478
1,20,0.502635,6e-06,1.294421,1.797062,6.351742,1.379253,0.001,8.0125
